NSID	GRIDID	HHCAT	W9SEX	W9ALIVE	W9PRES	W9RELTOKEY	W9LVDYM	W9LVDYY	W9WHNMOM	W9WHNMOY	W9SLVYM	W9SLVYY	W9DOBM	W9DOBY	W9RAGE	W9GRIDFLAG
NS10036G	31	4	1	2	2	9	1	2021	-8	-8	-1	-1	7	1960	61	0
NS10036G	32	4	2	1	1	12	-1	-1	-1	-1	-1	-1	7	1981	40	0
NS10038J	1	1	2	1	1	1	-1	-1	-1	-1	-1	-1	11	1993	29	0
NS10038J	26	3	1	1	1	4	-1	-1	-1	-1	-9	-9	-9	-9	4	0
NS10038J	27	3	2	1	1	4	-1	-1	-1	-1	-9	-9	-9	-9	2	0
NS10039K	2	1	1	1	1	1	-1	-1	-1	-1	1	2018	9	1989	33	0
NS10039K	26	3	2	1	1	4	-1	-1	-1	-1	5	2018	5	2018	5	0
NS10039K	27	3	1	1	1	4	-1	-1	-1	-1	2	2020	2	2020	3	0
NS10041W	2	1	1	1	1	1	-1	-1	-1	-1	10	2016	1	1986	36	0
NS10041W	31	4	1	1	2	9	-1	-1	10	2016	-1	-1	7	1954	68	0
NS10041W	32	4	2	1	2	9	-1	-1	10	2016	-1	-1	3	1959	63	0
NS10044Z	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	1	1973	49	0
NS10045A	31	4	1	1	1	9	-1	-1	-1	-1	-1	-1	6	1961	61	1
NS10045A	32	4	2	1	1	14	-1	-1	-1	-1	-1	-1	12	1992	29	1
NS10047C	1	1	2	1	2	29	-1	-1	12	2019	-1	-1	4	1987	35	0
NS10047C	2	1	2	1	1	3	-1	-1	-1	-1	1	2021	10	1995	27	0
NS10047C	26	3	2	1	1	4	-1	-1	-1	-1	10	2018	10	2018	4	0
NS10047C	27	3	2	1	1	4	-1	-1	-1	-1	10	2018	10	2018	4	0
NS10047C	28	3	2	1	1	4	-1	-1	-1	-1	3	2022	3	2022	0	0
NS10052R	2	1	1	1	1	3	-1	-1	-1	-1	8	2022	2	1991	31	0
NS10052R	31	4	1	1	2	14	-1	-1	5	2016	-1	-1	9	1988	34	0
NS10052R	32	4	1	2	2	9	7	2020	-8	-8	-1	-1	10	1960	62	0
NS10052R	33	4	2	1	2	9	-1	-1	5	2016	-1	-1	8	1955	67	0
NS10053S	2	1	2	1	1	3	-1	-1	-1	-1	4	2017	10	1990	32	0
NS10053S	11	2	2	1	1	4	-1	-1	-1	-1	-1	-1	2	2009	14	0
NS10053S	32	4	2	1	2	9	-1	-1	5	2022	-1	-1	10	1964	58	0
NS10055V	41	5	2	1	1	22	-1	-1	-1	-1	4	2019	3	1991	31	0
NS10056W	1	1	2	1	1	1	-1	-1	-1	-1	-1	-1	3	1987	35	0
NS10056W	26	3	2	1	1	4	-1	-1	-1	-1	1	2020	1	2020	3	0
NS10056W	27	3	2	1	1	4	-1	-1	-1	-1	5	2022	5	2022	0	0
NS10057X	26	3	2	1	1	4	-1	-1	-1	-1	11	2007	11	2007	15	0
NS10057X	27	3	1	1	1	4	-1	-1	-1	-1	12	2012	12	2012	10	0
NS10057X	28	3	1	1	1	4	-1	-1	-1	-1	10	2013	10	2013	9	0
NS10057X	29	3	2	1	1	4	-1	-1	-1	-1	10	2019	10	2019	3	0
NS10059Z	2	1	1	1	1	1	-1	-1	-1	-1	12	2021	11	1991	30	0
NS10059Z	26	3	-9	1	1	4	-1	-1	-1	-1	-9	-9	-9	-9	-8	0
NS10059Z	31	4	1	1	2	9	-1	-1	12	2021	-1	-1	1	1961	61	0
NS10059Z	32	4	2	1	2	9	-1	-1	12	2021	-1	-1	9	1958	63	0
NS10059Z	33	4	1	1	2	14	-1	-1	2	2021	-1	-1	1	1992	30	0
NS10059Z	34	4	1	1	2	14	-1	-1	12	2021	-1	-1	9	2000	21	0
NS10059Z	35	4	2	1	2	20	-1	-1	12	2021	-1	-1	1	1991	31	0
NS10060J	11	2	1	1	1	4	-1	-1	-1	-1	-1	-1	10	2013	9	0
NS10061K	2	1	1	1	1	1	-1	-1	-1	-1	1	2012	4	1987	36	0
NS10061K	26	3	1	1	1	4	-1	-1	-1	-1	3	2016	3	2016	7	0
NS10061K	27	3	1	1	1	4	-1	-1	-1	-1	7	2019	7	2019	4	0
NS10063M	2	1	2	1	1	1	-1	-1	-1	-1	1	2016	8	1988	34	0
NS10063M	26	3	2	1	1	4	-1	-1	-1	-1	11	2016	11	2016	6	0
NS10063M	27	3	1	1	1	4	-1	-1	-1	-1	8	2018	8	2018	4	0
NS10063M	28	3	2	1	1	4	-1	-1	-1	-1	2	2021	2	2021	1	0
NS10065P	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	12	1988	34	0
NS10065P	26	3	2	1	1	4	-1	-1	-1	-1	11	2019	11	2019	3	0
NS10065P	27	3	2	1	1	4	-1	-1	-1	-1	7	2022	7	2022	0	0
NS10067R	31	4	2	1	2	9	-1	-1	-8	-8	-1	-1	11	1967	54	0
NS10067R	32	4	1	1	2	12	-1	-1	-8	-8	-1	-1	4	1967	55	0
NS10067R	33	4	2	1	2	14	-1	-1	-8	-8	-1	-1	5	1995	27	0
NS10067R	34	4	2	1	2	14	-1	-1	-8	-8	-1	-1	11	1996	26	0
NS10068S	1	1	1	1	1	3	-1	-1	-1	-1	-1	-1	7	1995	27	0
NS10068S	12	2	1	1	1	4	-1	-1	-1	-1	-1	-1	2	2007	16	0
NS10068S	13	2	2	1	1	4	-1	-1	-1	-1	-1	-1	8	2009	13	0
NS10068S	26	3	2	1	1	4	-1	-1	-1	-1	1	2021	1	2021	2	0
NS10074H	1	1	1	1	1	3	-1	-1	-1	-1	-1	-1	6	1977	44	0
NS10074H	26	3	2	1	1	4	-1	-1	-1	-1	2	2017	2	2017	5	0
NS10076K	2	1	1	1	1	3	-1	-1	-1	-1	1	2016	4	1989	33	0
NS10076K	26	3	2	1	1	4	-1	-1	-1	-1	8	2019	8	2019	3	0
NS10076K	31	4	2	1	2	22	-1	-1	1	2016	-1	-1	4	1990	32	0
NS10076K	32	4	2	1	2	22	-1	-1	1	2016	-1	-1	6	1993	29	0
NS10078M	2	1	1	1	1	3	-1	-1	-1	-1	3	2020	9	1989	33	0
NS10078M	11	2	1	1	1	4	-1	-1	-1	-1	-1	-1	3	2009	13	0
NS10082A	26	3	1	1	2	4	-1	-1	-8	-8	-1	-1	6	2021	1	0
NS10083B	11	2	1	1	2	4	-1	-1	-8	-8	-1	-1	11	2013	9	1
NS10088G	2	1	2	1	1	1	-1	-1	-1	-1	8	2015	5	1990	32	0
NS10092V	2	1	2	1	1	1	-1	-1	-1	-1	9	2010	8	1991	31	0
NS10092V	26	3	1	1	1	4	-1	-1	-1	-1	12	2010	12	2010	11	0
NS10092V	27	3	2	1	1	4	-1	-1	-1	-1	12	2012	12	2012	9	0
NS10092V	28	3	1	1	1	4	-1	-1	-1	-1	4	2014	4	2014	8	0
NS10094X	2	1	1	1	1	3	-1	-1	-1	-1	2	2018	8	1980	42	0
NS10095Y	2	1	1	1	1	1	-1	-1	-1	-1	4	2017	11	1988	33	0
NS10095Y	31	4	2	1	2	9	-1	-1	4	2017	-1	-1	6	1961	61	0
NS10095Y	32	4	2	1	2	14	-1	-1	4	2017	-1	-1	4	1992	30	0
NS10095Y	33	4	1	1	2	12	-1	-1	4	2017	-1	-1	11	1955	66	0
NS10096Z	2	1	2	1	1	1	-1	-1	-1	-1	10	2022	1	1998	24	0
NS10096Z	26	3	2	1	1	4	-1	-1	-1	-1	11	2021	11	2021	1	0
NS10097A	1	1	1	1	1	3	-1	-1	-1	-1	-1	-1	12	1988	33	0
NS10097A	12	2	1	1	1	4	-1	-1	-1	-1	-1	-1	12	2013	8	0
NS10100T	2	1	2	1	1	1	-1	-1	-1	-1	4	2017	4	1995	27	0
NS10101V	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	7	1985	37	0
NS10101V	12	2	1	1	1	4	-1	-1	-1	-1	-1	-1	1	2012	10	0
NS10101V	13	2	1	1	1	4	-1	-1	-1	-1	-1	-1	12	2014	7	0
NS10101V	26	3	1	1	1	4	-1	-1	-1	-1	5	2021	5	2021	1	0
NS10104Y	2	1	1	1	1	1	-1	-1	-1	-1	5	2016	-8	-8	30	0
NS10104Y	26	3	2	1	1	4	-1	-1	-1	-1	-9	-9	-9	-9	5	0
NS10104Y	27	3	2	1	1	4	-1	-1	-1	-1	-9	-9	-9	-9	3	0
NS10105Z	41	5	1	1	1	9	-1	-1	-1	-1	6	1990	8	1953	69	0
NS10105Z	42	5	2	1	1	14	-1	-1	-1	-1	6	1990	3	1988	34	0
NS10105Z	43	5	2	1	1	9	-1	-1	-1	-1	6	1990	8	1957	65	0
NS10108C	41	5	1	1	1	9	-1	-1	-1	-1	12	1989	12	1945	77	0
NS10108C	42	5	2	1	1	9	-1	-1	-1	-1	12	1989	8	1956	66	0
NS10108C	43	5	1	1	1	18	-1	-1	-1	-1	6	2019	12	1988	34	0
NS10108C	44	5	2	1	1	14	-1	-1	-1	-1	12	1989	6	1987	35	0
NS10108C	45	5	1	1	1	20	-1	-1	-1	-1	11	2020	11	2020	2	0
NS10113R	2	1	1	1	1	1	-1	-1	-1	-1	6	2011	3	1989	33	0
NS10113R	26	3	1	1	1	4	-1	-1	-1	-1	6	2017	6	2017	5	0
NS10113R	27	3	2	1	1	4	-1	-1	-1	-1	7	2018	7	2018	4	0
NS10113R	28	3	2	1	1	4	-1	-1	-1	-1	4	2020	4	2020	2	0
NS10114S	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	1	1987	35	0
NS10114S	26	3	2	1	1	4	-1	-1	-1	-1	5	2017	5	2017	5	0
NS10114S	27	3	1	1	1	4	-1	-1	-1	-1	8	2020	8	2020	2	0
NS10115T	2	1	2	1	1	3	-1	-1	-1	-1	9	2019	3	1994	29	0
NS10120H	11	2	2	1	1	4	-1	-1	-1	-1	-1	-1	11	2006	16	0
NS10120H	26	3	2	1	1	4	-1	-1	-1	-1	12	2018	12	2018	4	0
NS10121J	26	3	2	1	1	4	-1	-1	-1	-1	4	2019	4	2019	3	0
NS10121J	41	5	2	1	1	9	-1	-1	-1	-1	2	1990	8	1957	65	0
NS10126P	31	4	2	1	2	9	-1	-1	3	2017	-1	-1	9	1968	54	0
NS10126P	32	4	1	1	2	9	-1	-1	3	2017	-1	-1	3	1968	54	0
NS10126P	33	4	2	1	2	14	-1	-1	3	2017	-1	-1	5	1999	23	0
NS10128R	26	3	2	1	1	4	-1	-1	-1	-1	-9	2017	-9	2017	5	0
NS10128R	31	4	2	1	2	9	-1	-1	-8	2017	-1	-1	-8	-8	-8	0
NS10128R	32	4	1	1	2	9	-1	-1	-8	2017	-1	-1	-8	-8	-8	0
NS10128R	33	4	1	1	2	14	-1	-1	-8	2017	-1	-1	-8	-8	-8	0
NS10130C	2	1	2	1	1	3	-1	-1	-1	-1	7	2020	-8	1993	28	0
NS10131D	2	1	1	1	1	1	-1	-1	-1	-1	-1	-9	-8	-8	-8	0
NS10131D	31	4	2	1	2	11	-1	-1	-8	2022	-1	-1	12	1958	64	0
NS10131D	32	4	1	1	2	9	-1	-1	-8	2022	-1	-1	5	1958	64	0
NS10135H	2	1	2	1	1	1	-1	-1	-1	-1	6	2021	3	1986	36	0
NS10137K	26	3	2	1	1	4	-1	-1	-1	-1	10	2019	10	2019	3	0
NS10137K	41	5	2	1	1	9	-1	-1	-1	-1	11	1992	12	1968	53	0
NS10138L	2	1	1	1	1	1	-1	-1	-1	-1	3	2017	9	1987	34	0
NS10138L	26	3	1	1	1	4	-1	-1	-1	-1	11	2018	11	2018	3	0
NS10138L	31	4	1	2	2	9	5	2021	-8	-8	-1	-1	2	1936	86	0
NS10138L	32	4	2	1	2	9	-1	-1	3	2017	-1	-1	4	1952	70	0
NS10138L	33	4	1	1	2	14	-1	-1	3	2017	-1	-1	11	1986	35	0
NS10138L	34	4	2	1	2	18	-1	-1	3	2017	-1	-1	7	1989	32	0
NS10138L	35	4	2	1	2	18	-1	-1	3	2017	-1	-1	-8	-8	-8	0
NS10138L	36	4	1	1	2	14	-1	-1	3	2017	-1	-1	8	1982	39	0
NS10138L	37	4	2	1	2	20	-1	-1	3	2017	-1	-1	11	2010	11	0
NS10138L	38	4	2	1	2	20	-1	-1	3	2017	-1	-1	2	2015	7	0
NS10138L	41	5	1	1	1	13	-1	-1	-1	-1	3	2017	10	1958	63	0
NS10138L	42	5	2	1	1	13	-1	-1	-1	-1	3	2017	5	1962	59	0
NS10139M	2	1	1	1	1	3	-1	-1	-1	-1	4	2017	11	1988	33	0
NS10139M	26	3	1	1	1	4	-1	-1	-1	-1	9	2020	9	2020	1	0
NS10139M	31	4	1	1	2	9	-1	-1	4	2017	-1	-1	12	1968	53	0
NS10139M	32	4	2	1	2	9	-1	-1	4	2017	-1	-1	5	1971	50	0
NS10139M	33	4	2	1	2	14	-1	-1	4	2017	-1	-1	7	1997	24	0
NS10141Y	41	5	1	1	1	28	-1	-1	-1	-1	4	2020	10	1989	33	0
NS10143A	1	1	1	1	2	29	-1	-1	9	2016	-1	-1	6	1984	38	0
NS10143A	2	1	1	1	1	1	-1	-1	-1	-1	10	2017	8	1987	35	0
NS10145C	2	1	1	1	1	3	-1	-1	-1	-1	11	2021	4	1990	32	0
NS10149G	2	1	2	1	1	3	-1	-1	-1	-1	7	2020	12	1991	31	0
NS10151S	2	1	1	1	1	3	-1	-1	-1	-1	9	2017	5	1976	46	0
NS10151S	26	3	2	1	1	4	-1	-1	-1	-1	8	2021	8	2021	1	0
NS10157Z	2	1	2	1	1	1	-1	-1	-1	-1	11	2015	1	1992	31	0
NS10158A	2	1	1	1	1	1	-1	-1	-1	-1	8	2020	7	1988	34	0
NS10163P	2	1	1	1	1	3	-1	-1	-1	-1	5	2011	7	1983	40	0
NS10163P	26	3	2	1	1	4	-1	-1	-1	-1	10	2017	10	2017	5	0
NS10163P	27	3	1	1	1	4	-1	-1	-1	-1	5	2020	5	2020	3	0
NS10165R	1	1	1	1	2	29	-1	-1	12	2019	-1	-1	4	1987	36	0
NS10167T	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	4	1988	34	0
NS10167T	12	2	1	1	1	4	-1	-1	-1	-1	-1	-1	8	2013	9	0
NS10167T	26	3	2	1	1	4	-1	-1	-1	-1	11	2017	11	2017	5	0
NS10168V	41	5	1	1	1	9	-1	-1	-1	-1	-9	-9	-9	-9	-9	0
NS10168V	42	5	2	1	1	9	-1	-1	-1	-1	-9	-9	-9	-9	-9	0
NS10170F	2	1	1	1	1	1	-1	-1	-1	-1	8	2017	4	1985	37	0
NS10170F	26	3	1	1	1	4	-1	-1	-1	-1	4	2020	4	2020	2	0
NS10170F	31	4	2	1	2	19	-1	-1	8	2017	-1	-1	9	1926	95	0
NS10170F	32	4	1	1	2	9	-1	-1	8	2017	-1	-1	5	1957	64	0
NS10170F	33	4	2	1	2	9	-1	-1	8	2017	-1	-1	4	1956	66	0
NS10170F	34	4	1	1	2	14	-1	-1	8	2017	-1	-1	9	1981	40	0
NS10170F	35	4	2	1	2	18	-1	-1	8	2017	-1	-1	12	1988	33	0
NS10173J	2	1	2	1	1	1	-1	-1	-1	-1	1	2017	12	1993	29	0
NS10175L	2	1	2	1	1	3	-1	-1	-1	-1	6	2019	12	1988	34	0
NS10175L	26	3	1	1	1	6	-1	-1	-1	-1	6	2021	6	2017	5	0
NS10175L	27	3	1	1	1	4	-1	-1	-1	-1	8	2022	8	2022	0	0
NS10175L	31	4	2	1	2	9	-1	-1	6	2020	-1	-1	-8	-8	-8	0
NS10177N	1	1	1	1	2	29	-1	-1	11	2022	-1	-1	1	1984	38	0
NS10177N	11	2	2	1	1	4	-1	-1	-1	-1	-1	-1	10	2009	13	0
NS10177N	12	2	2	1	1	4	-1	-1	-1	-1	-1	-1	10	2013	9	0
NS10181B	1	1	1	1	2	1	-1	-1	8	2021	-1	-1	11	1982	39	0
NS10181B	26	3	1	2	2	4	4	2017	-8	-8	-1	-1	4	2017	5	0
NS10181B	27	3	1	1	1	4	-1	-1	-1	-1	12	2018	12	2018	3	0
NS10181B	28	3	2	1	1	4	-1	-1	-1	-1	9	2021	9	2021	0	0
NS10186G	2	1	2	1	1	3	-1	-1	-1	-1	9	2014	10	1989	33	0
NS10191W	2	1	2	1	1	1	-1	-1	-1	-1	8	2018	4	1992	30	0
NS10191W	26	3	1	1	1	4	-1	-1	-1	-1	2	2021	2	2021	1	0
NS10191W	27	3	2	1	1	4	-1	-1	-1	-1	5	2022	5	2022	0	0
NS10197C	26	3	2	1	1	4	-1	-1	-1	-1	3	2019	3	2019	3	0
NS10197C	41	5	1	1	1	9	-1	-1	-1	-1	3	2020	4	1964	58	0
NS10197C	42	5	2	1	1	9	-1	-1	-1	-1	3	2020	7	1966	56	0
NS10198D	1	1	1	1	2	3	-1	-1	1	2017	-1	-1	12	1987	35	0
NS10198D	12	2	1	1	1	4	-1	-1	-1	-1	-1	-1	8	2010	12	0
NS10198D	26	3	2	1	1	4	-1	-1	-1	-1	8	2016	8	2016	6	0
NS10206C	1	1	2	1	2	29	-1	-1	4	2017	-1	-1	6	1992	30	0
NS10206C	2	1	2	1	1	2	-1	-1	-1	-1	2	2018	7	1987	35	0
NS10211R	2	1	1	1	1	1	-1	-1	-1	-1	2	2010	7	1990	32	0
NS10211R	26	3	1	1	1	4	-1	-1	-1	-1	5	2019	5	2019	3	0
NS10213T	2	1	1	1	1	1	-1	-1	-1	-1	6	2016	1	1990	33	0
NS10213T	26	3	1	1	1	4	-1	-1	-1	-1	4	2022	4	2022	0	0
NS10213T	31	4	1	1	2	9	-1	-1	6	2016	-1	-1	-8	-8	-8	0
NS10213T	32	4	2	1	2	9	-1	-1	6	2016	-1	-1	-8	-8	-8	0
NS10213T	33	4	2	1	2	14	-1	-1	6	2016	-1	-1	-8	-8	-8	0
NS10215W	1	1	1	1	2	1	-1	-1	7	2019	-1	-1	10	1986	36	0
NS10215W	2	1	1	1	1	1	-1	-1	-1	-1	2	2020	10	1986	36	0
NS10215W	12	2	1	1	1	4	-1	-1	-1	-1	-1	-1	9	2014	8	0
NS10215W	26	3	1	1	1	4	-1	-1	-1	-1	2	2018	2	2018	4	0
NS10217Y	11	2	2	1	1	4	-1	-1	-1	-1	-1	-1	9	2008	14	0
NS10218Z	31	4	1	1	1	9	-1	-1	-1	-1	-1	-1	9	1962	61	0
NS10218Z	32	4	2	1	1	9	-1	-1	-1	-1	-1	-1	11	1965	57	0
NS10218Z	33	4	2	1	1	14	-1	-1	-1	-1	-1	-1	9	1992	30	0
NS10218Z	34	4	2	1	2	14	-1	-1	7	2023	-1	-1	12	1994	28	0
NS10219A	1	1	1	1	1	3	-1	-1	-1	-1	-1	-1	1	1988	34	0
NS10219A	41	5	2	1	1	9	-1	-1	-1	-1	4	2020	3	1956	66	0
NS10222M	1	1	2	1	1	3	-1	-1	-1	-1	-1	-1	8	1986	36	0
NS10222M	12	2	1	1	1	4	-1	-1	-1	-1	-1	-1	3	2012	10	0
NS10222M	26	3	1	1	1	4	-1	-1	-1	-1	9	2017	9	2017	5	0
NS10223N	2	1	1	1	1	3	-1	-1	-1	-1	5	2013	11	1984	38	0
NS10223N	26	3	2	1	1	4	-1	-1	-1	-1	9	2018	9	2018	4	0
NS10225Q	1	1	2	1	1	3	-1	-1	-1	-1	-1	-1	9	1992	30	0
NS10225Q	26	3	1	1	1	4	-1	-1	-1	-1	8	2021	8	2021	1	0
NS10227S	1	1	1	1	1	3	-1	-1	-1	-1	-1	-1	2	1986	36	0
NS10227S	26	3	1	1	1	4	-1	-1	-1	-1	-9	-9	-9	-9	5	0
NS10227S	27	3	1	1	1	4	-1	-1	-1	-1	-9	-9	-9	-9	3	0
NS10228T	26	3	-9	1	2	-9	-1	-1	-8	-8	-1	-1	-9	-9	-9	0
NS10231F	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	11	1983	39	0
NS10231F	26	3	1	1	1	4	-1	-1	-1	-1	12	2020	12	2020	2	0
NS10232G	1	1	1	1	2	29	-1	-1	10	2016	-1	-1	5	1988	33	0
NS10238N	26	3	2	1	2	4	-1	-1	-8	-8	-1	-1	3	2019	3	0
NS10239P	1	1	2	1	1	3	-1	-1	-1	-1	-1	-1	8	1991	31	0
NS10239P	26	3	1	1	1	4	-1	-1	-1	-1	3	2017	3	2017	5	0
NS10239P	27	3	1	1	1	4	-1	-1	-1	-1	3	2019	3	2019	3	0
NS10240Z	26	3	1	1	1	4	-1	-1	-1	-1	10	2008	10	2008	13	0
NS10240Z	27	3	2	1	1	4	-1	-1	-1	-1	11	2013	11	2013	8	0
NS10246F	1	1	2	1	1	2	-1	-1	-1	-1	-1	-1	5	1990	32	0
NS10246F	26	3	2	1	1	4	-1	-1	-1	-1	1	2019	1	2019	4	0
NS10247G	2	1	1	1	1	1	-1	-1	-1	-1	4	2016	11	1985	37	0
NS10247G	26	3	2	1	1	4	-1	-1	-1	-1	9	2020	9	2020	2	0
NS10250T	1	1	1	1	2	29	-1	-1	10	2018	-1	-1	5	1996	26	0
NS10250T	26	3	2	1	1	4	-1	-1	-1	-1	6	2018	6	2018	4	0
NS10252W	31	4	1	1	2	22	-1	-1	8	2017	-1	-1	7	1990	32	0
NS10252W	32	4	1	1	2	22	-1	-1	2	2019	-1	-1	-8	-8	-8	0
NS10252W	41	5	1	1	1	22	-1	-1	-1	-1	2	2020	7	1990	32	0
NS10252W	42	5	2	1	1	22	-1	-1	-1	-1	11	2020	1	1994	28	0
NS10253X	1	1	2	1	1	1	-1	-1	-1	-1	-1	-1	1	1992	31	0
NS10253X	26	3	1	1	1	4	-1	-1	-1	-1	4	2019	4	2019	3	0
NS10253X	32	4	2	1	2	28	-1	-1	10	2019	-1	-1	1	1962	61	0
NS10253X	33	4	1	1	2	28	-1	-1	10	2019	-1	-1	8	1959	63	0
NS10253X	34	4	2	1	2	28	-1	-1	10	2019	-1	-1	1	1985	38	0
NS10253X	35	4	2	1	2	28	-1	-1	10	2019	-1	-1	2	2009	13	0
NS10254Y	2	1	1	1	1	3	-1	-1	-1	-1	1	2016	11	1978	44	0
NS10254Y	41	5	2	1	1	22	-1	-1	-1	-1	6	2012	5	1984	38	0
NS10255Z	2	1	2	1	1	3	-1	-1	-1	-1	7	2021	12	1985	37	0
NS10256A	2	1	2	1	1	3	-1	-1	-1	-1	3	2019	9	1988	34	0
NS10260N	2	1	1	1	1	3	-1	-1	-1	-1	6	2016	12	1988	33	0
NS10260N	26	3	2	1	1	4	-1	-1	-1	-1	11	2018	11	2018	3	0
NS10260N	27	3	2	1	1	4	-1	-1	-1	-1	3	2021	3	2021	1	0
NS10260N	31	4	2	1	2	9	-1	-1	6	2016	-1	-1	7	1966	55	0
NS10260N	32	4	1	1	2	12	-1	-1	6	2016	-1	-1	3	1960	62	0
NS10262Q	31	4	1	1	1	12	-1	-1	-1	-1	-1	-1	12	1955	67	0
NS10262Q	32	4	2	1	1	9	-1	-1	-1	-1	-1	-1	12	1959	63	0
NS10262Q	33	4	1	1	2	16	-1	-1	7	2021	-1	-1	7	1988	34	0
NS10265T	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	6	1982	40	0
NS10267W	2	1	2	1	1	1	-1	-1	-1	-1	8	2014	10	1990	32	0
NS10267W	26	3	1	1	1	4	-1	-1	-1	-1	9	2021	9	2021	1	0
NS10273L	31	4	1	1	1	9	-1	-1	-1	-1	-1	-1	10	1956	66	0
NS10273L	32	4	2	1	1	9	-1	-1	-1	-1	-1	-1	3	1955	67	0
NS10273L	33	4	1	1	2	14	-1	-1	11	2016	-1	-1	2	1982	40	0
NS10273L	34	4	2	1	1	14	-1	-1	-1	-1	-1	-1	12	1986	36	0
NS10277Q	2	1	1	1	1	1	-1	-1	-1	-1	8	2015	-8	-8	33	0
NS10277Q	26	3	2	1	1	4	-1	-1	-1	-1	-9	2022	-9	2022	-8	0
NS10284G	1	1	2	1	1	1	-1	-1	-1	-1	-1	-1	4	1984	38	0
NS10284G	12	2	2	1	1	4	-1	-1	-1	-1	-1	-1	8	2015	7	1
NS10284G	27	3	1	1	1	4	-1	-1	-1	-1	4	2017	4	2017	5	0
NS10287K	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	1	1982	41	0
NS10287K	26	3	2	1	2	6	-1	-1	-8	-8	-1	-1	5	2006	17	0
NS10288L	2	1	2	1	1	1	-1	-1	-1	-1	-1	2015	-8	-8	30	0
NS10290X	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	10	1981	41	0
NS10294B	1	1	1	1	1	3	-1	-1	-1	-1	-1	-1	5	1990	32	0
NS10294B	26	3	1	1	1	4	-1	-1	-1	-1	2	2019	2	2019	4	0
NS10294B	27	3	1	1	1	4	-1	-1	-1	-1	4	2022	4	2022	0	0
NS10295C	1	1	1	1	2	29	-1	-1	12	2016	-1	-1	9	1989	33	0
NS10295C	2	1	1	1	1	1	-1	-1	-1	-1	5	2018	4	1990	32	0
NS10298F	31	4	2	1	2	23	-1	-1	12	2016	-1	-1	-8	-8	-8	0
NS10298F	32	4	1	1	2	22	-1	-1	12	2016	-1	-1	-8	-8	-8	0
NS10299G	2	1	2	1	1	3	-1	-1	-1	-1	6	2019	1	1992	30	0
NS10299G	31	4	1	1	2	22	-1	-1	12	2015	-1	-1	-8	-8	-8	0
