NSID	W9ACTID	W9DACTIVITY4	W9CLJYEND	W9CLENDMO	W9CLENDYR	W9CLSEMPCHK	W9CLACTIVITY2	W9CLPAIDWK	W9STUDYHRS	W9USUAL	W9CLSICKDIS	W9CLOTHACT10A	W9CLOTHACT10B	W9CLOTHACT10C	W9CLOTHACT10D	W9CLOTHACT10E	W9CLOTHACT10F	W9CLOTHACT10G	W9CLOTHACT10H	W9CLOTHACT10I	W9CLOTHACT10J	W9CLOTHACT10K	W9CLOTHACT10L	W9CLOTHACT10M	W9CLOTHACT10N	W9CLOTHACT10O	W9CLOTHACT10P	W9DACTIVITY3	W9CJWRKHRS	W9CHANHRS0A	W9CHANHRS0B	W9CHANHRS0C	W9CHANHRS0D	W9CHANHRS0E	W9CHANHRS0F	W9CHANHRS0G	W9CHANHRS0H	W9CHANHRS0I	W9CHANHRS0J	W9CHANHRS0K	W9CHANHRS0L	W9CHANHRS0M	W9CHANHRS0N	W9CHANHRS0O	W9CHANHRS0P	W9CHANHRS0Q	W9CHANHRS0R	W9CHANHRS0S	W9CHANHRS0T	W9CHANHRS0U	W9CHANHRS0V	W9CHANHRS0W	W9CLCURACT	W9CLCURACTST	W9LASTLOOP
NS10645N	2	1	17	6	2017	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	3
NS10663A	2	2	27	3	2018	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	5
NS10709R	3	1	2	11	2022	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	3
NS10775Z	2	1	9	11	2022	-1	10	-1	-1	-1	-1	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	2
NS10787W	3	1	9	10	2015	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	3
NS10909W	1	1	5	7	2020	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	2
NS10961E	1	1	10	8	2017	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	1
NS10962F	2	2	1	9	2015	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	5
NS11046X	1	1	15	9	2013	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	5
NS11046X	4	1	9	4	2021	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	5
NS11129N	1	1	3	4	2017	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	2
NS11233D	1	1	9	3	2016	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	2
NS11356Y	1	1	32	3	2017	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	1	2	2	1	1	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	3
NS11428T	2	6	-1	9	2017	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	1	1	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	6
NS11431F	7	1	9	12	2019	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	8
NS11635P	1	1	33	9	2022	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1
NS11896M	1	1	2	2	2019	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	2
NS11904L	1	1	22	6	2018	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	2
NS11925B	2	1	9	3	2009	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	2
NS11950E	3	1	9	11	2017	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	4
NS12042N	1	1	9	1	2016	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	3
NS12055L	2	1	17	5	2018	-1	1	1	-1	-1	-1	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	2
NS12064E	1	1	2	5	2020	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	2
NS12076B	3	9	-1	4	2017	1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	4
NS12076B	4	14	-1	7	2020	-1	10	-1	-1	-1	-1	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	4
NS12262G	2	1	27	2	2013	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	5
NS12343W	1	1	9	5	2017	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	4
NS12416S	2	1	9	5	2013	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	4
NS12419W	7	2	9	3	2020	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	9
NS12434E	2	1	9	2	2017	-1	10	-1	-1	-1	-1	2	2	2	1	2	2	2	2	2	2	1	2	1	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	4
NS12481Z	2	1	17	10	2019	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	9
NS12481Z	7	1	1	8	2021	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	9
NS12492V	1	1	27	12	2016	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	5
NS12585F	1	6	-1	6	2012	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	2
NS12652W	1	6	-1	1	2012	-1	10	-1	-1	-1	-1	2	2	1	2	2	2	2	2	2	2	1	2	1	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	4
NS12652W	3	1	9	11	2017	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	4
NS12662Q	2	5	-1	3	2017	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	2
NS12698F	5	1	9	1	2021	-1	9	-1	-1	-1	-1	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	6
NS12810V	1	11	6	3	2011	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	2
NS12823S	2	2	9	1	2021	-1	2	2	-1	-1	-1	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	2
NS12854C	2	1	27	3	2012	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	4
NS13026Z	5	1	17	4	2014	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	8
NS13156K	1	2	17	7	2017	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	2	7
NS13156K	2	14	-1	3	2020	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	7
NS13156K	7	1	1	12	2022	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	7
NS13286W	5	4	18	12	2021	-1	10	-1	-1	-1	-1	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	5
NS13498X	2	1	5	10	2017	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	3
NS13498X	3	14	-1	5	2020	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	3
NS13528M	1	1	15	8	2019	-1	1	1	-1	-1	-1	1	2	2	2	1	2	2	2	2	2	2	2	2	1	2	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1
NS13568Q	1	1	9	12	2017	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1
NS13631B	1	1	9	4	2017	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	5
NS13631B	2	14	-1	10	2018	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	5
NS13631B	3	14	-1	10	2018	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	5
NS13648D	1	2	5	3	2023	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1
NS13790V	3	1	9	9	2019	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	1	2	1	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	5
NS13905D	2	1	9	6	2021	-1	10	2	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	14	-1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	3
NS13909H	3	1	9	11	2018	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	4
NS13969A	1	1	8	7	2019	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	3
NS13985K	1	1	3	10	2021	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1
NS14148N	2	2	33	8	2022	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-8	2
NS14175T	1	1	9	9	2019	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	1	2	2	2	2	1	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	2
NS14179Y	2	1	9	2	2010	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	6
NS14238W	2	2	3	3	2020	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	3
NS14247P	2	6	-1	12	2020	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	3
NS14283N	1	1	27	9	2016	-1	10	1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	5
NS14369H	2	1	1	8	2019	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	4
NS14462C	2	11	10	5	2017	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	8
NS14471W	2	6	-1	6	2012	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	8
NS14480P	1	14	-1	5	2019	-1	10	-1	-1	-1	-1	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1
NS14526F	5	1	1	6	2018	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	2	6
NS14685Z	1	6	-1	7	2011	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	6
NS14703S	1	6	-1	7	2009	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	10
NS14886E	1	1	27	12	2016	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	2	4
NS14886E	4	1	3	11	2020	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	4
NS14902W	3	1	27	12	2013	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	9
NS14988J	1	1	9	1	2017	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	2
NS15057A	3	1	9	10	2018	-1	10	-1	-1	-1	-1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	6
