NSID	GRIDID	W9SEOF	W9CHDSEEFREO	W9CHDSEEFREOP	W9CHDMAINO	W9CHDDECO	W9SEX	W9RAGE
NS11685M	11	6	3	6	3	1	1	11
NS11685M	12	6	3	6	3	1	1	10
NS11694F	12	1	2	1	3	3	1	13
NS11694F	13	1	2	1	3	3	2	8
NS11710X	12	4	1	2	1	1	1	7
NS11710X	26	4	1	2	1	1	1	3
NS11716D	26	8	-1	-1	3	1	2	13
NS11716D	27	8	-1	-1	3	1	1	10
NS11731M	12	5	0	6	1	1	1	15
NS11731M	13	5	1	3	1	3	2	14
NS11731M	14	5	1	3	1	1	2	9
NS11738V	11	8	-1	-1	3	1	1	10
NS11751B	11	2	3	1	3	2	1	13
NS11758J	26	7	0	6	3	1	1	11
NS11771Q	26	2	3	1	3	5	2	2
NS11781K	11	2	4	1	1	4	2	9
NS11783M	26	4	0	6	1	5	2	2
NS11796K	26	2	5	1	1	4	2	9
NS11796K	27	2	5	1	1	4	2	6
NS11815E	11	7	0	6	3	1	1	14
NS11815E	12	7	0	6	3	1	1	12
NS11823X	11	3	2	6	3	2	2	13
NS11823X	12	3	2	6	3	2	1	8
NS11823X	26	3	2	6	3	2	1	5
NS11840H	11	3	1	1	1	3	2	10
NS11848R	11	5	2	3	2	1	1	11
NS11855H	26	1	7	1	1	4	2	0
NS11858L	26	3	5	1	1	4	1	5
NS11858L	27	3	5	1	1	4	2	3
NS11874W	26	8	-1	-1	3	1	2	4
NS11874W	27	8	-1	-1	3	3	2	3
NS11874W	28	1	0	6	3	3	1	2
NS11874W	29	1	0	6	3	3	2	0
NS11896M	26	2	1	1	1	3	1	3
NS11922Y	11	4	2	2	1	2	2	13
NS11922Y	12	4	2	2	1	2	2	9
NS11925B	26	10	-1	-1	1	5	2	7
NS11925B	27	10	-1	-1	1	5	1	3
NS11941L	26	3	8	3	1	3	1	5
NS11970T	26	1	0	1	3	5	1	1
NS11970T	27	1	0	1	3	5	2	0
NS12000H	26	8	-1	-1	3	1	2	3
NS12009S	26	1	-9	-9	1	5	1	6
NS12009S	27	1	-9	-9	1	5	2	1
NS12029G	11	7	0	-8	1	1	2	12
NS12035X	26	8	-1	-1	1	1	1	7
NS12037Z	12	10	-1	-1	1	5	2	12
NS12037Z	13	10	-1	-1	1	5	1	9
NS12048V	26	2	2	1	2	3	1	3
NS12048V	27	2	2	1	2	3	2	2
NS12072X	11	2	3	1	3	4	1	8
NS12081Q	12	4	2	2	2	2	2	8
NS12081Q	27	4	2	2	2	2	2	3
NS12089Z	26	3	2	1	1	3	2	13
NS12095P	26	10	-1	-1	1	4	1	3
NS12095P	27	10	-1	-1	1	4	2	0
NS12102M	26	1	5	1	3	4	1	4
NS12102M	27	1	5	1	3	4	2	3
NS12139D	11	10	-1	-1	3	5	1	7
NS12139D	12	10	-1	-1	3	5	1	10
NS12139D	26	10	-1	-1	3	5	2	4
NS12139D	27	10	-1	-1	3	5	2	2
NS12139D	28	10	-1	-1	3	5	2	0
NS12170X	13	2	5	1	1	5	1	8
NS12175C	11	4	2	2	1	1	1	11
NS12176D	26	10	-1	-1	1	5	1	0
NS12185X	12	2	4	1	1	4	2	7
NS12199W	11	2	4	1	3	3	2	11
NS12223E	11	4	1	2	1	1	2	9
NS12223E	12	4	1	2	1	1	1	11
NS12224F	12	2	4	1	3	5	1	11
NS12229L	11	8	-1	-1	3	1	1	16
NS12229L	12	8	-1	-1	3	1	1	11
NS12229L	13	8	-1	-1	3	1	1	9
NS12232Y	11	8	-1	-1	3	1	2	9
NS12243T	11	9	-1	-1	-1	-1	1	11
NS12243T	12	9	-1	-1	-1	-1	2	9
NS12257S	26	8	-1	-1	3	1	1	11
NS12270Z	26	8	-1	-1	3	1	1	1
NS12275E	11	3	2	1	1	4	1	15
NS12277G	12	7	1	4	3	1	1	11
NS12277G	28	1	0	1	3	5	1	1
NS12278H	11	9	-1	-1	-1	-1	2	11
NS12279J	26	2	2	1	1	4	2	6
NS12279J	27	2	1	1	1	4	1	4
NS12306W	12	3	1	1	1	4	2	8
NS12320D	28	2	5	1	3	3	2	4
NS12320D	29	1	7	1	3	5	1	1
NS12325J	12	8	-1	-1	3	1	1	14
NS12336E	11	2	3	1	1	5	1	10
NS12336E	26	2	3	1	1	5	1	5
NS12336E	27	2	3	1	1	5	1	3
NS12347A	27	10	-1	-1	1	5	1	6
NS12347A	28	10	-1	-1	1	5	2	3
NS12351N	26	2	0	6	2	3	2	13
NS12351N	27	2	0	6	2	3	1	9
NS12355S	11	8	-1	-1	1	1	2	16
NS12364L	26	2	2	1	1	3	2	8
NS12374F	26	1	7	1	1	5	1	0
NS12393T	26	8	-1	-1	3	1	1	8
NS12435F	26	10	-1	-1	1	5	2	8
NS12435F	27	10	-1	-1	1	5	2	6
NS12443Y	12	8	-1	-1	3	1	2	13
NS12443Y	13	8	-1	-1	3	1	2	11
NS12443Y	26	8	-1	-1	3	1	1	6
NS12448D	12	-9	-9	-9	-9	-9	2	12
NS12448D	13	1	-9	-9	-9	-9	2	11
NS12448D	14	-9	-9	-9	-9	-9	1	9
NS12448D	26	-9	-9	-9	-9	-9	1	5
NS12464N	26	2	7	2	3	1	1	5
NS12464N	27	2	7	2	3	2	1	3
NS12473G	26	2	1	6	1	4	2	7
NS12473G	27	2	1	6	1	4	1	2
NS12476K	26	10	-1	-1	1	5	2	4
NS12476K	27	10	-1	-1	1	5	1	2
NS12490S	11	2	2	2	3	5	1	11
NS12490S	12	2	2	2	3	5	2	10
NS12490S	13	2	2	2	3	5	2	9
NS12490S	26	2	2	2	3	5	1	5
NS12496Z	12	2	3	1	3	2	1	8
NS12496Z	26	2	3	1	3	2	1	6
NS12516V	11	8	-1	-1	1	1	2	14
NS12516V	12	8	-1	-1	1	1	2	9
NS12517W	26	2	2	1	3	1	1	5
NS12517W	27	2	2	1	3	1	2	3
NS12530C	26	1	1	1	3	5	1	14
NS12530C	27	1	1	1	3	5	1	11
NS12540X	26	8	-1	-1	3	1	2	15
NS12540X	27	3	1	1	3	3	1	12
NS12540X	28	1	2	1	1	5	2	6
NS12540X	29	1	2	1	1	5	1	0
NS12558A	26	2	7	2	1	5	1	3
NS12566S	12	8	-1	-1	3	1	1	14
NS12575L	26	2	3	1	1	2	1	11
NS12575L	27	2	3	1	1	2	1	9
NS12613T	26	2	0	6	1	3	2	4
NS12624P	26	10	-1	-1	3	5	1	5
NS12624P	27	10	-1	-1	3	5	2	0
NS12626R	26	-9	-9	-9	1	4	2	1
NS12654Y	26	8	-1	-1	1	1	1	15
NS12654Y	27	8	-1	-1	3	1	1	12
NS12654Y	28	5	0	6	2	2	2	10
NS12654Y	29	5	0	6	2	2	1	8
NS12654Y	30	2	3	1	3	5	1	6
NS12654Y	31	2	0	6	1	5	1	2
NS12673L	12	6	2	4	1	2	1	13
NS12718B	12	8	0	-8	2	1	2	14
NS12718B	13	8	-1	-1	2	1	2	8
NS12720M	26	3	2	1	1	2	1	11
NS12746H	12	5	2	2	3	1	1	13
NS12746H	26	6	0	-8	3	1	2	5
NS12753Z	26	6	1	6	3	1	1	12
NS12753Z	27	2	4	1	3	5	2	7
NS12804E	26	2	7	2	3	5	2	4
NS12810V	26	10	-1	-1	1	4	2	10
NS12810V	27	10	-1	-1	1	4	1	8
NS12810V	28	10	-1	-1	1	4	2	6
NS12810V	29	10	-1	-1	1	4	2	4
NS12810V	30	10	-1	-1	1	4	2	2
NS12811W	11	6	0	6	3	2	1	11
NS12860S	12	8	-1	-1	3	1	2	13
NS12864X	11	5	1	4	3	1	2	16
NS12864X	12	2	4	3	2	3	2	7
NS12868B	26	2	3	1	3	2	1	13
NS12868B	27	2	3	1	3	2	2	10
NS12871N	26	4	1	2	1	4	2	3
NS12876T	26	8	-1	-1	2	1	1	14
NS12880G	12	3	1	1	1	5	1	10
NS12880G	26	3	1	1	1	5	2	7
NS12890B	26	8	-1	-1	2	1	1	11
NS12891C	26	10	-1	-1	1	5	1	10
NS12891C	27	10	-1	-1	1	5	1	7
NS12891C	28	10	-1	-1	1	5	1	0
NS12895G	26	1	-9	-9	1	3	1	1
NS12902E	11	2	7	2	3	5	1	11
NS12902E	12	2	7	2	3	5	1	9
NS12911Y	26	2	10	3	1	3	2	11
NS12911Y	27	3	10	3	1	3	1	4
NS13000D	11	8	-1	-1	3	1	1	7
NS13002F	12	2	-9	1	3	5	2	14
NS13002F	26	2	-9	1	3	5	2	5
NS13026Z	26	8	-1	-1	3	1	1	13
NS13026Z	27	8	-1	-1	3	1	2	10
NS13034R	26	8	-1	-1	3	1	1	11
NS13034R	27	4	0	-8	2	4	2	2
NS13036T	11	8	-1	-1	3	1	2	16
NS13036T	26	6	2	6	3	2	2	6
NS13056H	12	3	2	1	1	5	1	9
NS13056H	26	4	6	3	1	3	1	4
NS13075W	26	1	1	3	1	1	2	12
NS13080K	26	2	4	1	1	4	1	8
NS13128D	11	7	0	6	3	1	1	13
NS13128D	12	2	0	1	1	4	1	9
NS13141K	11	8	-1	-1	2	1	2	7
NS13191H	26	4	2	2	1	4	2	8
NS13207Q	26	8	-1	-1	3	1	2	2
NS13219M	26	3	2	2	1	4	2	5
NS13243P	26	8	-1	-1	3	1	1	8
NS13252H	26	1	7	1	3	5	2	1
NS13258P	26	2	6	1	1	1	2	10
NS13273Y	26	5	0	6	1	3	1	6
NS13276B	26	8	-1	-1	3	1	2	9
NS13292L	26	8	-1	-1	3	1	1	16
NS13292L	27	9	-1	-1	-1	-1	1	7
NS13292L	28	9	-1	-1	-1	-1	2	10
NS13301L	11	3	1	6	3	3	1	7
NS13301L	27	2	1	6	3	3	2	4
NS13323C	26	1	0	1	1	4	1	5
NS13349Y	12	7	-9	-9	3	1	1	12
NS13351J	11	3	0	6	1	2	1	8
NS13351J	12	3	0	6	1	2	2	6
NS13364G	26	3	1	1	1	3	1	6
NS13367K	26	10	-1	-1	1	-1	2	12
NS13367K	27	-1	-1	-1	-1	-1	1	7
NS13367K	28	-1	-1	-1	-1	-1	1	1
NS13372Z	12	1	11	2	3	3	1	10
NS13372Z	13	1	11	2	3	3	2	8
NS13386Y	11	5	2	3	1	3	2	10
NS13389B	26	5	-8	-8	3	1	1	2
NS13390L	12	8	-1	-1	2	1	1	14
NS13390L	13	2	0	-8	1	3	2	8
NS13392N	11	8	-1	-1	3	1	1	12
NS13392N	26	1	0	-9	1	4	2	5
NS13485Z	26	10	-1	-1	1	5	2	9
NS13485Z	27	10	-1	-1	1	5	1	7
NS13485Z	28	10	-1	-1	1	5	1	0
NS13498X	26	4	0	-8	3	1	2	5
NS13498X	27	5	0	6	3	1	1	1
NS13523G	12	2	5	1	1	5	2	7
NS13526K	12	2	3	1	3	4	2	9
NS13530Y	11	1	5	-9	3	3	2	15
NS13530Y	12	1	5	-9	3	3	1	12
NS13530Y	26	1	5	-9	2	4	1	4
NS13530Y	27	1	3	-9	2	4	1	3
NS13530Y	28	1	3	-9	2	4	2	1
NS13531Z	26	5	4	5	1	3	2	15
NS13531Z	27	6	3	6	3	1	2	12
NS13531Z	28	6	3	6	3	1	1	8
NS13541T	12	6	5	6	1	1	1	13
NS13541T	13	6	5	6	1	1	1	12
NS13541T	14	1	0	1	2	5	1	9
NS13541T	26	1	0	1	2	5	1	5
NS13591R	11	8	-1	-1	3	1	1	12
NS13591R	12	8	-1	-1	3	1	2	10
NS13591R	13	2	2	1	1	4	2	8
NS13591R	29	8	-1	-1	3	1	2	4
NS13607Z	11	2	1	2	1	2	1	14
NS13607Z	12	4	1	2	1	2	2	11
NS13622H	12	8	-1	-1	1	1	1	8
NS13622H	26	8	-1	-1	1	1	1	6
NS13623J	26	5	1	3	1	1	1	8
NS13639K	26	10	-1	-1	3	5	2	10
NS13639K	27	10	-1	-1	3	5	2	7
NS13645A	26	4	2	2	1	4	1	13
NS13645A	27	2	3	1	1	4	1	9
NS13645A	28	1	0	1	2	5	1	0
NS13657X	11	4	1	2	1	2	2	12
NS13662L	26	8	-1	-1	3	1	1	6
NS13665P	26	8	-1	-1	3	1	2	4
NS13711P	12	1	6	1	3	3	1	11
NS13715T	26	2	3	1	3	1	2	4
NS13722K	11	8	-1	-1	3	1	1	8
NS13728R	12	2	15	3	3	3	2	6
NS13728R	26	2	15	3	3	3	2	5
NS13749G	11	8	-1	-1	3	1	2	14
NS13749G	12	8	-1	-1	3	1	2	11
NS13754W	11	8	-1	-1	3	1	2	9
NS13758A	11	8	-1	-1	3	1	2	12
NS13771G	26	2	0	1	1	5	1	4
NS13771G	27	1	0	1	1	5	1	3
NS13777N	12	8	-1	-1	1	1	2	16
NS13777N	13	8	-1	-1	1	1	1	10
NS13777N	14	8	-1	-1	1	1	2	7
NS13798D	26	1	7	6	1	5	-9	1
NS13819A	26	7	0	1	3	1	2	8
NS13819A	27	7	0	1	3	1	2	7
NS13823N	12	1	4	1	3	4	2	11
NS13826R	11	4	4	2	1	3	1	7
NS13849J	12	8	-1	-1	1	1	2	10
NS13849J	13	4	2	2	1	1	1	7
NS13859D	26	10	-1	-1	3	5	1	1
NS13859D	27	10	-1	-1	3	5	2	0
NS13877Q	26	10	-1	-1	1	4	2	0
NS13934L	26	1	5	1	-1	-1	2	9
NS13956C	26	2	20	3	3	3	2	6
NS13956C	27	2	20	3	3	3	2	3
NS13971L	12	2	2	2	1	4	2	12
NS13971L	13	2	2	2	1	4	2	7
NS13982G	26	10	-1	-1	-9	5	1	6
NS14040C	26	6	2	6	2	1	1	11
NS14050X	12	8	-1	-1	3	1	1	12
NS14052Z	26	3	2	1	3	2	2	11
NS14052Z	27	3	2	1	3	2	2	5
NS14064W	11	8	-1	-1	3	1	1	13
NS14066Y	26	4	2	2	3	3	2	12
NS14066Y	27	1	7	1	3	4	1	3
NS14066Y	28	1	7	1	3	4	2	0
NS14069B	26	3	2	1	1	5	1	4
NS14079W	11	8	-1	-1	3	1	2	12
NS14092C	26	5	0	3	3	1	2	7
NS14092C	27	7	0	3	3	1	1	2
NS14127Y	11	2	0	6	1	3	1	13
NS14127Y	26	1	0	6	1	3	2	3
NS14138T	26	2	3	1	3	5	2	2
NS14148N	11	8	-1	-1	3	1	2	10
NS14148N	12	10	-1	-1	1	5	2	6
NS14148N	26	10	-1	-1	1	5	2	3
NS14195H	26	3	0	6	1	5	1	5
NS14208M	12	8	-1	-1	2	1	2	12
NS14208M	13	4	2	2	1	4	1	8
NS14223W	26	1	0	6	1	3	2	6
NS14234R	11	4	2	3	3	1	2	13
NS14234R	12	2	4	2	1	5	2	8
NS14303J	26	1	12	2	3	3	1	6
NS14303J	27	1	12	2	3	3	1	2
NS14344N	26	3	2	2	1	4	2	4
NS14369H	26	5	0	6	3	3	1	3
NS14378B	26	2	-9	-9	3	5	1	0
NS14402K	26	8	-1	-1	2	1	1	10
NS14409S	26	1	-9	-9	3	5	1	12
NS14409S	27	1	-9	-9	3	5	2	8
NS14419M	26	3	0	1	3	1	1	9
NS14436Y	11	4	2	2	1	4	1	8
NS14444Q	26	10	7	1	1	5	2	2
NS14444Q	27	10	-1	-1	1	5	2	0
NS14447T	11	10	-1	-1	3	1	2	13
NS14464E	11	3	2	1	1	3	1	10
NS14464E	26	1	2	1	3	5	1	3
NS14464E	27	1	2	1	3	5	2	1
NS14469K	12	8	-1	-1	3	1	1	14
NS14473Y	26	2	0	6	1	3	1	5
NS14509V	11	8	-1	-1	3	1	2	15
NS14509V	26	3	48	2	1	5	2	4
NS14513H	26	5	0	6	2	1	1	7
NS14517M	11	2	1	1	3	3	2	10
NS14517M	12	2	1	1	3	3	1	8
NS14521A	26	10	-1	-1	1	5	1	2
NS14521A	27	10	-1	-1	1	5	2	1
NS14550H	26	1	0	1	1	1	2	3
NS14550H	27	1	0	1	1	1	1	0
NS14557Q	26	10	-1	-1	-9	5	1	0
NS14564G	26	3	2	2	1	4	2	5
NS14569M	11	7	0	6	2	1	1	15
NS14569M	12	7	0	6	3	1	1	8
NS14569M	13	8	-1	-1	3	1	2	7
NS14573A	27	2	2	2	1	3	2	14
NS14574B	28	2	3	1	3	5	2	2
NS14574B	29	2	3	1	3	5	2	0
NS14586Y	27	2	4	1	3	4	1	9
NS14586Y	28	2	4	1	3	4	1	3
NS14587Z	26	2	4	1	3	5	1	15
NS14587Z	27	2	2	1	3	5	1	13
NS14587Z	28	2	2	1	3	5	1	10
NS14587Z	29	4	4	3	2	1	2	8
NS14597T	12	8	-1	-1	1	1	1	13
NS14597T	13	8	-1	-1	1	1	2	10
NS14642S	26	2	3	1	1	5	2	6
NS14677G	26	9	-1	-1	-1	-1	1	5
NS14677G	27	9	-1	-1	-1	-1	1	4
NS14678H	26	2	2	1	1	4	2	6
NS14698X	12	4	0	6	1	1	1	14
NS14710J	26	2	4	1	1	4	1	1
NS14720D	26	4	0	6	3	1	2	13
NS14724H	27	1	7	1	1	5	2	2
NS14749C	26	3	2	1	1	4	1	6
NS14749C	27	2	0	1	1	4	2	1
NS14787D	26	6	0	-8	3	1	1	8
NS14787D	27	6	0	-8	3	1	2	6
NS14806Y	11	8	-1	-1	3	1	2	9
NS14821G	26	8	0	-1	3	1	1	14
NS14821G	27	2	3	1	3	5	1	9
NS14821G	28	2	3	1	3	5	2	8
NS14851Q	26	10	-1	-1	1	5	1	3
NS14851Q	27	10	-1	-1	1	5	2	1
NS14893W	12	3	4	3	2	2	1	8
NS14893W	26	3	4	3	2	2	2	6
NS14916V	26	10	-1	-1	1	5	2	0
NS14924M	26	3	4	2	1	5	2	4
NS14928R	26	3	2	1	2	4	1	12
NS14928R	27	6	0	6	3	1	1	3
NS14929S	12	1	5	1	1	5	2	7
NS14948F	26	2	14	3	3	5	1	5
NS14966S	12	4	2	2	1	1	1	13
NS14966S	13	4	2	2	1	1	1	8
NS14978P	27	3	7	1	3	5	1	6
NS15010P	12	3	2	1	3	3	1	12
NS15018Y	11	8	-1	-1	2	1	1	11
NS15037L	26	1	183	6	3	5	1	4
NS15050S	11	1	4	1	3	1	1	11
NS15058B	12	3	2	1	1	3	2	8
NS15058B	26	3	2	1	1	3	2	6
NS15062P	26	1	3	1	1	5	1	0
NS15128V	11	3	1	1	3	1	2	11
NS15128V	26	3	1	1	3	1	2	6
NS15128V	27	3	1	1	3	1	1	2
NS15172L	26	1	1	1	1	1	1	4
NS15182F	12	9	-1	-1	-1	-1	1	10
NS15202B	12	8	-1	-1	3	1	2	14
NS15215Z	11	2	15	3	3	3	2	8
NS15228X	11	5	0	1	3	1	1	16
NS15247K	26	4	0	6	3	2	-9	13
NS15265X	26	4	2	2	1	3	1	8
NS15265X	27	4	2	2	1	3	1	6
NS15266Y	26	8	-1	-1	3	1	1	1
NS15277T	26	5	0	4	1	3	1	4
NS15279W	11	8	-1	-1	3	1	1	12
NS15339V	11	1	0	-9	3	4	1	12
NS15339V	12	1	0	6	3	4	2	9
NS15354D	26	2	1	1	1	3	1	3
NS15354D	27	2	1	1	1	3	2	0
NS15355E	11	8	-1	-1	3	1	1	14
NS15370N	11	5	10	6	3	3	1	9
NS15370N	26	5	10	6	3	3	1	7
NS15382K	12	8	-1	-1	1	1	1	15
NS15414C	26	4	2	2	1	1	2	11
NS15414C	27	2	4	1	3	4	2	6
NS15434R	26	3	0	6	1	3	1	2
NS15437V	26	1	2	1	1	5	2	3
NS15437V	27	1	2	1	1	5	2	2
NS15466C	26	1	0	1	1	5	1	4
NS15466C	27	1	0	1	1	5	1	1
NS15471R	26	2	0	1	1	3	1	1
NS15474V	26	3	1	1	2	1	1	9
NS15476X	11	8	-1	-1	3	1	2	8
NS15476X	26	1	0	6	3	3	1	3
NS15491F	26	3	1	3	1	4	1	0
NS15506M	11	8	-1	-1	2	1	1	10
NS15506M	12	8	-1	-1	2	1	1	9
NS15518J	26	10	-1	-1	1	5	1	3
NS15548S	12	3	2	1	1	4	1	13
NS15583Q	11	3	3	1	1	4	2	11
NS15583Q	26	2	4	1	1	5	1	4
NS15583Q	27	2	4	1	1	5	1	4
NS15584R	26	8	-1	-1	3	1	2	0
NS15611D	26	10	-1	-1	1	5	2	1
NS15623A	26	1	2	-8	1	5	2	5
NS15623A	27	1	3	-9	1	5	2	1
NS15623A	28	1	3	-9	1	5	2	0
NS15646S	26	8	-1	-1	3	1	1	4
NS15649W	26	7	-9	-9	3	1	1	10
NS15649W	27	5	2	3	1	4	1	5
NS15652H	26	3	0	6	2	1	1	7
NS15653J	26	10	7	1	1	5	2	3
