NSID	GRIDID	W9CHDLIVE	W9CHDSEE	W9CHDSEEFRE	W9CHDSEEFREP	W9CHDMAIN	W9CHDDEC	W9SEX	W9RAGE
NS12076B	27	1	7	0	3	1	3	1	0
NS12078D	12	1	4	1	2	1	3	2	13
NS12078D	13	1	4	1	2	1	3	2	10
NS12129J	26	1	8	-1	-1	1	1	2	6
NS12243T	26	4	8	-1	-1	3	1	1	0
NS12275E	12	1	3	1	1	3	4	1	9
NS12277G	11	1	6	1	6	3	1	1	12
NS12284Y	26	1	2	3	2	1	4	1	4
NS12307X	26	1	2	2	1	1	5	1	1
NS12779V	26	1	2	3	1	1	3	2	6
NS12811W	12	1	7	0	6	3	1	1	9
NS12848M	12	1	2	3	1	1	1	2	14
NS12967C	26	1	4	0	1	1	4	1	6
NS13065B	11	1	2	2	2	1	4	2	9
NS13308T	26	1	6	0	-9	1	5	1	1
NS13330T	12	1	6	0	6	1	2	2	13
NS13331V	26	1	1	1	-9	1	2	2	7
NS13375C	12	1	2	2	2	2	1	2	9
NS13402P	12	2	8	-1	-1	1	1	1	13
NS13402P	13	3	8	-1	-1	3	1	2	11
NS13402P	26	3	8	-1	-1	3	1	2	6
NS13510J	26	1	8	-1	-1	1	1	1	13
NS13510J	27	1	8	-1	-1	1	2	2	9
NS13543W	11	1	3	2	1	1	4	1	11
NS13543W	12	1	3	2	1	1	4	2	7
NS13568Q	26	1	1	8	4	1	4	1	5
NS13568Q	27	1	1	8	3	1	3	1	4
NS13568Q	28	1	1	8	3	1	3	2	2
NS13600R	26	1	3	2	1	1	3	1	11
NS13612N	26	1	5	2	3	1	5	1	13
NS13612N	27	1	4	1	2	1	4	2	10
NS13658Y	26	4	2	0	-9	2	4	2	9
NS13804A	14	1	7	0	6	1	1	1	12
NS13804A	15	1	7	0	6	1	5	2	8
NS13818Z	11	1	2	3	1	1	4	1	10
NS13818Z	12	1	2	3	1	1	4	2	8
NS13900Y	26	1	1	2	1	1	5	1	2
NS13934L	26	1	3	3	1	1	3	2	9
NS14003C	26	1	2	2	1	1	7	2	3
NS14018C	26	1	1	1	1	1	4	1	3
NS14090A	26	1	2	2	1	1	4	1	4
NS14090A	27	1	2	2	1	1	4	1	2
NS14106H	11	1	4	2	2	2	3	2	7
NS14191D	12	1	5	2	3	1	1	2	13
NS14191D	13	1	4	2	3	1	1	1	10
NS14191D	14	1	4	2	2	1	1	2	8
NS14313D	26	1	1	3	1	1	5	1	1
NS14347R	12	4	5	3	3	3	1	1	13
NS14501L	26	1	3	1	2	1	3	2	11
NS14501L	27	1	3	1	2	1	3	2	7
NS14526F	26	4	2	0	1	2	3	2	1
NS14573A	26	4	1	0	-9	3	1	1	16
NS14574B	26	1	2	3	1	1	3	2	17
NS14574B	27	1	2	3	1	1	3	1	12
NS14577E	26	1	5	0	6	3	1	1	14
NS14587Z	30	1	8	-1	-1	3	1	2	6
NS14724H	26	1	8	-1	-1	3	1	1	10
NS14866Q	12	8	3	1	2	3	5	1	11
NS14887F	26	1	1	0	6	3	1	2	0
NS14924M	11	1	4	2	2	1	3	1	9
NS14924M	12	1	4	2	2	1	2	1	6
NS14978P	26	1	8	-1	-1	3	1	1	2
NS15037L	31	1	1	-8	-8	1	5	2	0
NS15050S	12	1	3	0	5	1	3	2	7
NS15099F	26	1	2	0	6	1	4	1	-9
NS15168Y	26	1	2	4	3	1	1	1	11
NS15211V	26	1	2	0	-9	1	5	1	4
NS15355E	12	4	4	3	3	1	3	1	9
NS15363X	26	4	6	-9	-9	3	1	1	15
NS15593K	26	1	2	3	1	1	5	2	2
NS15594L	26	1	2	2	1	3	5	2	8
NS15594L	27	1	2	2	1	1	5	1	3
NS15597P	11	1	8	-1	-1	1	1	1	8
NS15597P	26	1	8	-1	-1	1	1	2	4
NS15597P	27	1	8	-1	-1	1	1	2	2
NS15618L	26	4	3	2	1	3	7	2	13
NS15618L	27	4	3	2	1	3	7	2	11
NS15618L	28	4	3	2	1	3	7	1	8
NS15618L	29	4	3	2	1	3	7	2	6
NS15618L	30	4	3	2	1	3	7	1	4
NS15679E	12	1	4	2	2	3	1	1	12
NS15688Y	26	1	3	1	2	1	4	1	6
NS15693M	11	1	7	0	6	2	1	2	11
NS15854P	26	1	4	3	2	1	2	2	14
NS16064M	26	4	3	0	6	3	-8	2	15
NS16295B	26	1	3	2	1	1	5	1	11
NS16295B	27	1	3	2	1	1	5	2	8
NS16295B	28	1	3	2	1	1	3	1	4
NS16432K	12	1	3	104	5	1	5	1	6
NS16432K	26	1	3	104	6	1	5	2	4
NS16448L	11	4	5	0	-9	3	1	1	14
NS16448L	12	1	8	-1	-1	3	7	1	11
NS16448L	13	4	5	0	6	3	1	2	9
NS16595H	12	1	3	1	2	1	3	1	10
NS16627A	26	1	6	-8	-8	1	1	1	7
NS16658K	12	1	8	-1	-1	3	1	2	13
NS16665B	12	1	8	-1	-1	3	1	2	13
NS16705L	26	1	2	2	1	1	5	2	11
NS16709Q	12	1	7	0	-9	1	1	2	12
NS16811D	26	1	3	2	1	1	1	2	5
NS16811D	27	1	3	2	1	1	1	1	3
NS16849W	27	1	8	-1	-1	1	1	1	10
NS16849W	28	1	8	-1	-1	1	1	1	7
NS16879E	26	1	3	2	1	1	3	1	12
NS17028J	11	1	3	3	3	2	3	2	10
NS17028J	26	1	3	3	3	2	3	1	5
NS17227M	12	1	2	3	1	2	3	2	15
NS17227M	13	1	3	1	1	2	3	2	13
NS17281Y	28	1	3	1	1	1	3	2	5
NS17318W	11	1	5	3	3	1	3	1	10
NS17460M	11	1	2	1	1	1	7	1	10
NS17460M	12	1	2	1	1	1	7	1	7
NS17460M	26	1	2	1	1	1	7	2	7
NS17469X	26	1	8	-1	-1	3	1	1	12
NS17522N	26	1	1	0	1	1	5	1	4
NS17524Q	27	1	8	-1	-1	1	1	2	13
NS17681G	26	1	6	0	6	1	1	2	7
NS17781J	26	1	2	14	3	1	5	1	12
NS17826Z	12	1	3	2	2	1	3	1	10
NS17832P	11	1	5	0	6	1	3	1	12
NS17923Y	26	4	2	0	-9	3	3	2	5
NS17998Q	12	1	5	0	6	1	1	2	13
NS18307W	26	1	4	3	2	1	2	2	4
NS18307W	27	1	4	3	2	1	2	1	2
NS18315N	26	1	6	1	-8	1	1	2	6
NS18315N	27	1	2	2	2	1	4	2	3
NS18454S	26	1	2	4	1	1	1	1	16
NS18661N	26	1	7	0	6	2	1	1	14
NS18661N	27	1	7	0	6	2	1	1	9
NS18720L	11	1	2	1	4	-9	1	1	11
NS18889Q	12	3	8	-1	-1	3	1	2	15
NS18931L	11	1	3	2	2	1	3	2	11
NS18998L	26	1	1	2	1	1	5	1	6
NS18998L	27	1	1	2	1	1	5	1	0
NS18998L	28	1	1	1	3	1	5	1	1
NS19341N	11	6	5	0	-9	3	1	2	9
NS19341N	12	6	5	-9	-9	3	1	1	8
NS19341N	28	6	5	0	-9	3	1	1	5
NS19341N	29	6	5	0	-9	3	1	2	2
NS19370W	26	1	4	2	2	1	5	1	3
NS19370W	27	1	4	2	2	1	5	2	1
NS19376C	26	4	1	0	1	1	5	2	0
NS19445V	11	6	7	-9	-9	3	2	2	13
NS19445V	12	6	7	-9	-9	3	2	1	9
NS19445V	13	6	7	-9	-9	3	2	2	7
NS19445V	29	6	7	-9	-9	3	1	2	-8
NS19458S	11	1	8	-1	-1	3	1	1	15
NS19505T	26	5	5	0	6	3	4	1	11
NS19505T	27	3	8	-1	-1	3	1	2	7
NS19588D	26	1	8	-1	-1	1	1	1	6
NS19591Q	11	1	6	2	6	3	3	1	14
NS19705Y	11	1	6	5	3	3	1	2	15
NS19705Y	12	1	6	5	3	3	1	1	10
NS20166C	12	1	1	2	3	1	4	1	13
NS20316J	27	1	3	1	2	1	5	2	3
NS20370V	26	1	1	2	1	1	5	2	5
NS20475C	12	5	1	2	2	3	1	1	13
NS20684A	11	1	3	2	1	1	5	2	7
NS20684A	12	4	3	2	1	3	5	1	10
NS20685B	26	1	3	1	1	3	4	2	4
NS20779N	11	4	8	-1	-1	3	1	1	11
NS20779N	12	4	8	-1	-1	3	1	2	9
NS20779N	13	5	8	-1	-1	3	1	1	7
NS20867T	26	1	8	-1	-1	3	1	2	7
NS20867T	27	1	8	-1	-1	1	1	2	4
NS20900W	26	1	4	1	2	1	3	2	9
NS20900W	27	1	4	1	2	1	3	2	7
NS20908E	26	3	8	-1	-1	3	1	2	3
NS21208K	26	1	2	1	1	1	3	2	4
NS21208K	27	1	2	1	1	1	3	1	3
NS21264Y	26	1	8	-1	-1	3	1	1	8
NS21264Y	27	1	8	-1	-1	3	1	2	6
NS21266A	11	1	5	2	2	1	1	2	12
NS21319H	26	1	3	2	1	1	5	2	4
NS21319H	27	1	3	2	1	1	5	1	0
NS21377Y	12	1	4	2	3	1	1	1	10
NS21377Y	27	1	1	0	1	1	5	2	4
NS21453G	12	1	8	-1	-1	1	7	1	7
NS21453G	26	1	8	-1	-1	1	7	1	2
NS21459N	26	1	1	3	1	1	5	1	11
NS21496N	26	1	5	0	6	1	3	1	1
NS21500H	26	1	5	14	4	3	3	1	10
NS21597R	26	1	2	0	-9	1	4	2	1
NS21599T	26	1	3	0	1	2	2	1	4
NS21614J	11	1	2	5	2	3	3	1	11
NS21614J	12	1	2	4	2	3	3	2	7
NS22021H	30	1	8	-1	-1	3	1	2	12
NS22090T	26	1	7	0	6	1	1	1	5
NS22134H	26	1	3	2	1	1	2	2	2
NS22134H	27	1	3	2	1	1	2	1	1
NS22201Y	26	1	2	4	2	1	4	1	9
NS22201Y	27	1	2	4	2	1	4	2	7
NS22201Y	28	1	2	4	2	1	4	1	5
NS22223P	12	4	3	-8	-8	3	5	1	13
NS22256B	11	1	2	4	2	1	1	1	10
NS22323R	11	1	4	1	6	1	2	1	10
NS22353A	26	1	3	2	4	1	2	1	12
NS22425W	11	1	8	-1	-1	2	1	2	9
NS22474S	11	1	2	2	1	1	5	2	12
NS22558K	12	1	6	20	6	1	1	1	8
NS22558K	13	1	6	20	6	1	1	2	7
NS22558K	26	1	6	20	6	1	1	2	4
NS22590E	26	1	4	2	2	1	3	2	11
NS22599P	26	1	5	-8	-9	1	3	1	4
NS22749W	12	1	2	2	3	1	5	1	11
NS22752H	11	4	4	0	6	1	4	2	7
NS22752H	12	1	6	0	6	3	1	2	3
NS22763D	26	1	8	-1	-1	1	3	2	14
NS22763D	27	1	8	-1	-1	1	1	1	10
NS22763D	28	1	6	0	6	2	1	1	2
NS22902P	26	1	2	2	2	1	4	2	5
NS22902P	27	1	2	2	2	1	4	2	1
NS22938E	26	1	2	2	1	1	4	1	2
NS22938E	27	1	2	2	1	1	4	1	0
NS22943T	26	1	1	6	3	1	4	1	4
NS22996V	26	1	2	3	1	1	3	1	4
NS23012K	12	1	3	27	6	1	1	2	8
NS23012K	26	1	3	27	6	1	1	1	5
NS23057T	11	1	2	1	1	1	4	1	7
NS23171D	26	1	2	0	6	3	5	2	3
NS23171D	27	1	2	0	6	3	5	2	2
NS23207A	11	1	8	-1	-1	3	1	1	13
NS23207A	12	4	8	-1	-1	3	1	2	11
NS23416Y	26	1	2	3	1	1	5	2	13
NS23416Y	27	1	4	0	3	3	3	1	0
NS23587N	26	1	2	2	1	3	1	2	14
NS23682K	12	1	2	8	3	1	5	1	11
NS23682K	13	1	2	8	3	1	5	2	7
NS23685N	26	1	8	-1	-1	3	1	1	5
NS23706K	26	1	8	-1	-1	3	1	2	10
NS23706K	27	1	8	-1	-1	3	1	2	8
NS23706K	28	1	8	-1	-1	3	1	1	1
NS23743K	13	9	-1	-1	-1	-1	-1	2	8
NS23876Z	26	1	7	0	-9	2	1	2	5
NS23876Z	27	1	7	0	-9	2	1	2	2
NS23956M	11	1	1	-9	-9	2	5	2	9
NS23998S	12	1	5	0	6	3	5	1	11
NS23998S	13	1	4	0	6	3	5	2	8
NS23998S	14	1	4	0	6	3	5	2	6
NS24077D	11	1	8	-1	-1	3	1	2	14
NS24205T	11	1	3	9	3	1	3	2	12
NS24246Y	11	4	2	0	1	3	1	1	13
NS24246Y	26	3	2	0	1	3	5	1	5
NS24336F	26	1	4	3	2	1	1	1	2
NS24700Z	12	1	8	-1	-1	1	1	2	13
NS24722Q	11	1	3	1	1	1	3	1	10
NS24722Q	12	1	8	-1	-1	1	1	1	8
NS24775R	11	1	3	3	2	1	3	1	14
NS24775R	12	1	2	2	1	1	4	2	9
NS24854D	26	1	8	-1	-1	3	1	1	14
NS25004J	11	1	3	1	4	1	4	2	11
NS25005K	26	1	2	0	6	1	2	2	10
NS25005K	27	1	2	0	6	1	2	2	6
NS25012B	13	1	3	2	1	1	7	2	7
NS25089W	12	1	2	3	1	1	5	2	10
NS25252J	26	1	8	-1	-1	1	7	2	3
NS25252J	27	1	8	-1	-1	1	7	2	1
NS25367L	26	1	2	2	1	1	5	1	2
NS25427K	28	1	3	0	1	1	3	2	1
NS25471B	26	1	4	1	6	1	1	2	4
NS25506X	26	1	4	1	2	1	1	2	10
NS25506X	27	1	1	0	6	1	5	2	2
NS25559Y	11	1	3	2	1	1	1	2	12
NS25665Q	26	1	1	365	6	2	3	2	6
NS25743B	13	1	1	12	6	1	7	2	7
NS25743B	26	1	1	12	6	1	7	1	4
NS25764R	26	1	2	2	1	3	5	2	11
NS25764R	27	1	2	2	1	3	5	1	9
NS25764R	28	1	2	2	1	3	5	2	5
NS25832H	26	1	3	1	2	1	3	2	3
NS25906F	26	1	3	2	1	1	5	2	12
NS25934M	12	1	5	0	1	1	3	2	13
NS25934M	13	1	8	-1	-1	1	1	2	12
